,Swatch Name,Image Link,Collection Name,Company
0,CS-10-ALMOND,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-ALMOND.jpg,Century Solids,Andover Fabrics
1,CS-10-AQUA,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-AQUA.jpg,Century Solids,Andover Fabrics
2,CS-10-AQUARIUM,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-AQUARIUM.jpg,Century Solids,Andover Fabrics
3,CS-10-AUBERGINE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-AUBERGINE.jpg,Century Solids,Andover Fabrics
4,CS-10-BAHAMA,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BAHAMA.jpg,Century Solids,Andover Fabrics
5,CS-10-BARNROSE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BARNROSE.jpg,Century Solids,Andover Fabrics
6,CS-10-BLACK,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BLACK.jpg,Century Solids,Andover Fabrics
7,CS-10-BLUEBELL,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BLUEBELL.jpg,Century Solids,Andover Fabrics
8,CS-10-BORDEAUX,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BORDEAUX.jpg,Century Solids,Andover Fabrics
9,CS-10-BRASS,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BRASS.jpg,Century Solids,Andover Fabrics
10,CS-10-BUBBLE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BUBBLE.jpg,Century Solids,Andover Fabrics
11,CS-10-BUTTER,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BUTTER.jpg,Century Solids,Andover Fabrics
12,CS-10-BUTTERNUTSQUASH,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BUTTERNUTSQUASH.jpg,Century Solids,Andover Fabrics
13,CS-10-CAFEAULAIT,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CAFEAULAIT.jpg,Century Solids,Andover Fabrics
14,CS-10-CARIBBEAN,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CARIBBEAN.jpg,Century Solids,Andover Fabrics
15,CS-10-CARROT,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CARROT.jpg,Century Solids,Andover Fabrics
16,CS-10-CHAMBRAYBLUE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CHAMBRAYBLUE.jpg,Century Solids,Andover Fabrics
17,CS-10-CHAMPAGNE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CHAMPAGNE.jpg,Century Solids,Andover Fabrics
18,CS-10-CHOCOLATE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CHOCOLATE.jpg,Century Solids,Andover Fabrics
19,CS-10-CINNAMON,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CINNAMON.jpg,Century Solids,Andover Fabrics
20,CS-10-CLAY,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CLAY.jpg,Century Solids,Andover Fabrics
21,CS-10-CLOUD,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CLOUD.jpg,Century Solids,Andover Fabrics
22,CS-10-COCOA,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-COCOA.jpg,Century Solids,Andover Fabrics
23,CS-10-COFFEEBEAN,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-COFFEEBEAN.jpg,Century Solids,Andover Fabrics
24,CS-10-CORALSUNSET,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CORALSUNSET.jpg,Century Solids,Andover Fabrics
25,CS-10-CORNSILK,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CORNSILK.jpg,Century Solids,Andover Fabrics
26,CS-10-COTTONBALL,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-COTTONBALL.jpg,Century Solids,Andover Fabrics
27,CS-10-CREAM,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CREAM.jpg,Century Solids,Andover Fabrics
28,CS-10-DAWN,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-DAWN.jpg,Century Solids,Andover Fabrics
29,CS-10-DENIM,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-DENIM.jpg,Century Solids,Andover Fabrics
30,CS-10-EARTH,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-EARTH.jpg,Century Solids,Andover Fabrics
31,CS-10-EMERALD,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-EMERALD.jpg,Century Solids,Andover Fabrics
32,CS-10-FADED,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-FADED.jpg,Century Solids,Andover Fabrics
33,CS-10-FLAX,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-FLAX.jpg,Century Solids,Andover Fabrics
34,CS-10-GINGER,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GINGER.jpg,Century Solids,Andover Fabrics
35,CS-10-GIRLYGIRL,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GIRLYGIRL.jpg,Century Solids,Andover Fabrics
36,CS-10-GOLDENROD,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GOLDENROD.jpg,Century Solids,Andover Fabrics
37,CS-10-GRAPHITE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GRAPHITE.jpg,Century Solids,Andover Fabrics
38,CS-10-GUACAMOLE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GUACAMOLE.jpg,Century Solids,Andover Fabrics
39,CS-10-GUAVAPUNCH,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GUAVAPUNCH.jpg,Century Solids,Andover Fabrics
40,CS-10-GUNMETAL,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GUNMETAL.jpg,Century Solids,Andover Fabrics
41,CS-10-HUNTER,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-HUNTER.jpg,Century Solids,Andover Fabrics
42,CS-10-ICING,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-ICING.jpg,Century Solids,Andover Fabrics
43,CS-10-ISLE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-ISLE.jpg,Century Solids,Andover Fabrics
